;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;C13;C14;C15;C16;C17;C18;C19;C20;C21;C22;C23;C24;C25;C26;C27
C1;;61.908;62.188;235.92;8.577;12.687;5.42;2.82;1.12;0;;0;0;0;;;;1.12;0;;2.54;;;7.72;2.02;;
C2;;;235.777;62.12;19.91;19.227;5.92;1.92;1.068;2.11;1.41;0.979;0;0;0;;;1.02;0;;2.879;;;4.71;3.72;1.26;
C3;;;;25.11;5.21;26.909;20.13;12.688;2.506;0;0;1.258;0;0;;;;0.995;0;;2.02;;;5.468;4.82;3.12;
C4;;;;;19.63;7.12;;;;;;0;0;0;0;;;;;;;;;;;;
C5;;;;;;1.87;1.36;1.32;1.167;8.827;0;0;1.869;;1.91;;;1.82;0.82;7.52;12.609;;;;;;
C6;;;;;;;16.597;12.378;6.613;0;0;1.886;0;0.92;;;;1.186;0.71;1.13;1.82;;0.82;3.388;4.52;4.998;
C7;;;;;;;;;1.437;0;;0.42;0;0;;;;0;;;;;;;;;
C8;;;;;;;;;1.595;0;;1.128;3.367;0;0;;;0;;;;;;;;;
C9;;;;;;;;;;1.22;1.255;2.526;1.92;3.785;;0;1.01;1.274;9.012;;;3.767;0.82;;;3.31;0.924
C10;;;;;;;;;;;14.487;1.21;0;0;3.74;5.01;;0;0.72;6.92;3.82;;;;;;
C11;;;;;;;;;;;;3.365;0;0;1.94;4.71;;0.53;0;9.52;;;;;0;;
C12;;;;;;;;;;;;;12.205;1.979;;0;1.349;1.14;0.675;;;2.01;1.12;;;;
C13;;;;;;;;;;;;;;0;0;0;0;;1.12;;;7.268;3.51;;1.51;;
C14;;;;;;;;;;;;;;;8.885;2.12;21.92;1.22;1.609;;;;;;;;6.52
C15;;;;;;;;;;;;;;;;25.44;1.72;0;0;;;;;;;;2.44
C16;;;;;;;;;;;;;;;;;;1.449;0;;;;;;;;
C17;;;;;;;;;;;;;;;;;;2.567;1.01;;;;;;;;
C18;;;;;;;;;;;;;;;;;;;1.145;;1.409;;;;;;3.588
C19;;;;;;;;;;;;;;;;;;;;1.73;;1.41;;;;0.43;0.765
C20;;;;;;;;;;;;;;;;;;;;;;;;;;;
C21;;;;;;;;;;;;;;;;;;;;;;;;;;;
C22;;;;;;;;;;;;;;;;;;;;;;;;;;;
C23;;;;;;;;;;;;;;;;;;;;;;;;;;;
C24;;;;;;;;;;;;;;;;;;;;;;;;;;;
C25;;;;;;;;;;;;;;;;;;;;;;;;;;;
C26;;;;;;;;;;;;;;;;;;;;;;;;;;;
C27;;;;;;;;;;;;;;;;;;;;;;;;;;;
